regime,seed,state_idx,K,temperature,configured_diversity,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,mode_coverage_observed,marginal_diversity_gain_high_n
low_diversity_high_quality,1,0,32,0.05,0.01,0.0,1.0,0.984375,0.2,0.0
high_diversity_aligned,1,0,16,0.88,0.95,0.553987399004832,1.6703221481945607,0.0,1.0,-0.023159916151721527
high_diversity_misaligned,1,0,16,0.95,1.0,0.6434652172203665,1.6388878325972156,0.0,1.0,0.010674581272764883
collapsed_sampler,1,0,18,0.34,0.03,0.03491061994122866,1.641475761233833,0.0,0.2,0.00013412241245819995
noisy_low_k_sampler,1,0,2,1.1,0.9,2.592882408482717,1.6415660087058068,0.0,1.0,0.09020397381008394
expensive_high_k_sampler,1,0,32,0.62,0.55,0.20498985634468056,2.249804686158516,0.0,0.8,0.020641532386266204
low_diversity_high_quality,1,1,32,0.05,0.01,0.0,1.0,0.984375,0.2,0.0
high_diversity_aligned,1,1,16,0.88,0.95,0.5404624497292808,1.6571239596720502,0.0,1.0,-0.00014748605047854024
high_diversity_misaligned,1,1,16,0.95,1.0,0.6170163898411873,1.6439042376763036,0.0,1.0,0.006929631110097145
collapsed_sampler,1,1,18,0.34,0.03,0.03527581576311978,1.6360389401109354,0.0,0.2,0.00017938928723390535
noisy_low_k_sampler,1,1,2,1.1,0.9,2.641491418831068,1.6311842985075764,0.0,1.0,0.06295907334458395
expensive_high_k_sampler,1,1,32,0.62,0.55,0.2243653919525548,2.1657564163791165,0.0,0.8,-0.012623057622530964
low_diversity_high_quality,1,2,32,0.05,0.01,0.0,1.0,0.984375,0.2,0.0
high_diversity_aligned,1,2,16,0.88,0.95,0.5485843140588278,1.6418091330968931,0.0,1.0,-0.012856059924087448
high_diversity_misaligned,1,2,16,0.95,1.0,0.6371398623935635,1.6491365769668151,0.0,1.0,0.0070062331159194136
collapsed_sampler,1,2,18,0.34,0.03,0.03589452116045105,1.6393695934443744,0.0,0.2,-0.000871210057693951
noisy_low_k_sampler,1,2,2,1.1,0.9,2.560061601608756,1.647963481668785,0.0,1.0,0.06713380024607174
expensive_high_k_sampler,1,2,32,0.62,0.55,0.21730772841134233,2.222044489627038,0.0,0.8,-0.040465590135444485
low_diversity_high_quality,1,3,32,0.05,0.01,0.0,1.0,0.984375,0.2,0.0
high_diversity_aligned,1,3,16,0.88,0.95,0.5601342370425875,1.655845440807696,0.0,1.0,0.028240604405211367
high_diversity_misaligned,1,3,16,0.95,1.0,0.6512817888729537,1.6440817398425396,0.0,1.0,0.010225686477511875
collapsed_sampler,1,3,18,0.34,0.03,0.034176712869795525,1.6418164568881095,0.0,0.2,-0.0003204203993629126
noisy_low_k_sampler,1,3,2,1.1,0.9,2.530732607092519,1.6477560314232929,0.0,1.0,0.0474950111742829
expensive_high_k_sampler,1,3,32,0.62,0.55,0.23413497627819344,1.4940331806955198,0.0,0.8,-0.00709427939803553
low_diversity_high_quality,1,4,32,0.05,0.01,0.0,1.0,0.984375,0.2,0.0
high_diversity_aligned,1,4,16,0.88,0.95,0.5687266071730434,1.6425889850506827,0.0,1.0,-0.00407463358956639
high_diversity_misaligned,1,4,16,0.95,1.0,0.6343413972594496,1.655428569797681,0.0,1.0,0.022657901780024914
collapsed_sampler,1,4,18,0.34,0.03,0.03426374358473006,1.6537545247642034,0.0,0.2,-0.0012645670884898416
noisy_low_k_sampler,1,4,2,1.1,0.9,2.53947116335335,1.6265049036325374,0.0,1.0,-0.06553351868898893
expensive_high_k_sampler,1,4,32,0.62,0.55,0.24431466370640229,1.478044221136041,0.0,0.8,0.019149662960987773
