seed,N,K,B,real_utility,latency_adjusted_utility,utility_per_diffusion_step
1,1,2,2.0,-1.5616015797864173,-1.5686015797864172,-0.7808007898932087
1,1,4,4.0,-1.2544913933858488,-1.2684913933858488,-0.3136228483464622
1,1,8,8.0,-0.989935489003623,-1.0179354890036232,-0.12374193612545288
1,1,16,16.0,-0.8720502166759754,-0.9280502166759754,-0.05450313854224846
1,1,32,32.0,-0.880792075453986,-0.9927920754539861,-0.02752475235793706
1,2,2,4.0,-1.17493218139657,-1.1889321813965699,-0.2937330453491425
1,2,4,8.0,-0.9682043479814055,-0.9962043479814057,-0.12102554349767569
1,2,8,16.0,-0.8003317223509893,-0.8563317223509893,-0.05002073264693683
1,2,16,32.0,-0.7075683813991306,-0.8195683813991306,-0.02211151191872283
1,2,32,64.0,-0.7147082049710337,-0.9387082049710338,-0.011167315702672402
1,4,2,8.0,-0.907229293059563,-0.9352292930595629,-0.11340366163244538
1,4,4,16.0,-0.7431189976061312,-0.7991189976061313,-0.0464449373503832
1,4,8,32.0,-0.6534148097557132,-0.7654148097557132,-0.020419212804866037
1,4,16,64.0,-0.5722173614030105,-0.7962173614030104,-0.008940896271922039
1,4,32,128.0,-0.5927028270254159,-1.040702827025416,-0.0046304908361360616
1,8,2,16.0,-0.7233774053200752,-0.7793774053200753,-0.0452110878325047
1,8,4,32.0,-0.5687239551259482,-0.6807239551259482,-0.01777262359768588
1,8,8,64.0,-0.5292326295442866,-0.7532326295442866,-0.008269259836629479
1,8,16,128.0,-0.467900553521787,-0.915900553521787,-0.003655473074388961
1,8,32,256.0,-0.5079389582105294,-1.4039389582105293,-0.0019841365555098803
1,16,2,32.0,-0.5999528745149474,-0.7119528745149474,-0.018748527328592106
1,16,4,64.0,-0.4390043479355052,-0.6630043479355051,-0.006859442936492269
1,16,8,128.0,-0.4211068829531694,-0.8691068829531694,-0.003289897523071636
1,16,16,256.0,-0.3930251846177015,-1.2890251846177017,-0.0015352546274128964
1,16,32,512.0,-0.45182364169393113,-2.2438236416939312,-0.0008824680501834592
1,32,2,64.0,-0.5242685632396282,-0.7482685632396282,-0.008191696300619191
1,32,4,128.0,-0.35671906110248613,-0.8047190611024861,-0.002786867664863173
1,32,8,256.0,-0.33255439517665353,-1.2285543951766535,-0.0012990406061588028
1,32,16,512.0,-0.3410080316801272,-2.133008031680127,-0.0006660313118752485
1,32,32,1024.0,-0.41902418946364506,-4.003024189463645,-0.0004092033100230909
