N,K,n_rows,B,B_se,B_ci_low,B_ci_high,real_utility,real_utility_se,real_utility_ci_low,real_utility_ci_high,latency_adjusted_utility,latency_adjusted_utility_se,latency_adjusted_utility_ci_low,latency_adjusted_utility_ci_high,utility_per_diffusion_step,utility_per_diffusion_step_se,utility_per_diffusion_step_ci_low,utility_per_diffusion_step_ci_high
1,2,16,2.0,0.0,2.0,2.0,-1.5532524778611163,0.021549078092685345,-1.5954878948228206,-1.511017060899412,-1.5602524778611162,0.021549078092685345,-1.6024878948228205,-1.518017060899412,-0.7766262389305582,0.010774539046342672,-0.7977439474114103,-0.755508530449706
1,4,16,4.0,0.0,4.0,4.0,-1.308803132127888,0.015212537862744877,-1.3386191584523197,-1.278987105803456,-1.3228031321278881,0.015212537862744877,-1.35261915845232,-1.2929871058034563,-0.327200783031972,0.0038031344656862193,-0.33465478961307993,-0.319746776450864
1,8,16,8.0,0.0,8.0,8.0,-0.948654212424618,0.014882646002385931,-0.9778236625839535,-0.9194847622652825,-0.976654212424618,0.01488264600238593,-1.0058236625839534,-0.9474847622652826,-0.11858177655307725,0.0018603307502982414,-0.12222795782299418,-0.11493559528316032
1,16,16,16.0,0.0,16.0,16.0,-0.8384741518252408,0.01908346242560373,-0.8758770508797474,-0.8010712527707341,-0.8944741518252408,0.01908346242560373,-0.9318770508797475,-0.8570712527707341,-0.05240463448907755,0.001192716401600233,-0.054742315679984214,-0.05006695329817088
1,32,16,32.0,0.0,32.0,32.0,-0.8334421202401205,0.022812881825711142,-0.8781545470020827,-0.7887296934781584,-0.9454421202401206,0.02281288182571115,-0.9901545470020828,-0.9007296934781585,-0.026045066257503767,0.0007129025570534732,-0.027442329593815085,-0.02464780292119245
2,2,16,4.0,0.0,4.0,4.0,-1.1762390569046801,0.01853282437918894,-1.2125627252196962,-1.139915388589664,-1.1902390569046801,0.01853282437918894,-1.2265627252196962,-1.153915388589664,-0.29405976422617003,0.004633206094797235,-0.30314068130492405,-0.284978847147416
2,4,16,8.0,0.0,8.0,8.0,-0.9953418710573854,0.013818902709588675,-1.022426422674042,-0.9682573194407286,-1.0233418710573854,0.013818902709588675,-1.050426422674042,-0.9962573194407286,-0.12441773388217317,0.0017273628386985844,-0.12780330283425526,-0.12103216493009107
2,8,16,16.0,0.0,16.0,16.0,-0.7584134604898165,0.012795591708114718,-0.7834923593986007,-0.7333345615810323,-0.8144134604898166,0.012795591708114718,-0.8394923593986008,-0.7893345615810323,-0.04740084128061353,0.0007997244817571699,-0.048968272462412546,-0.04583341009881452
2,16,16,32.0,0.0,32.0,32.0,-0.6750862179876405,0.019520022467411753,-0.7133447590011802,-0.6368276769741007,-0.7870862179876404,0.019520022467411753,-0.8253447590011802,-0.7488276769741007,-0.021096444312113764,0.0006100007021066173,-0.022292023718786882,-0.019900864905440647
2,32,16,64.0,0.0,64.0,64.0,-0.6912202014185225,0.023314786262622938,-0.7369163428005127,-0.6455240600365323,-0.9152202014185224,0.02331478626262294,-0.9609163428005126,-0.8695240600365323,-0.010800315647164414,0.0003642935353534834,-0.01151431785625801,-0.010086313438070817
4,2,16,8.0,0.0,8.0,8.0,-0.8992275366010428,0.018840938650982308,-0.9361550977918968,-0.8622999754101889,-0.9272275366010428,0.018840938650982304,-0.9641550977918968,-0.8902999754101889,-0.11240344207513035,0.0023551173313727885,-0.1170193872239871,-0.10778749692627361
4,4,16,16.0,0.0,16.0,16.0,-0.7613667905965604,0.013979088650832451,-0.7887653008888846,-0.7339682803042362,-0.8173667905965605,0.013979088650832451,-0.8447653008888847,-0.7899682803042363,-0.04758542441228503,0.0008736930406770282,-0.04929783130555529,-0.045873017519014764
4,8,16,32.0,0.0,32.0,32.0,-0.6138661456552585,0.01178601994595051,-0.6369663202703922,-0.5907659710401248,-0.7258661456552584,0.011786019945950509,-0.7489663202703921,-0.7027659710401247,-0.01918331705172683,0.00036831312331095346,-0.019905197508449757,-0.0184614365950039
4,16,16,64.0,0.0,64.0,64.0,-0.545805657711355,0.02024283561997746,-0.5854808864714753,-0.5061304289512347,-0.769805657711355,0.020242835619977455,-0.8094808864714753,-0.7301304289512347,-0.008528213401739922,0.0003162943065621478,-0.009148138851116802,-0.007908287952363043
4,32,16,128.0,0.0,128.0,128.0,-0.5747058467531674,0.025905270992445134,-0.62547924490811,-0.5239324485982247,-1.0227058467531673,0.025905270992445134,-1.0734792449081099,-0.9719324485982247,-0.00448988942775912,0.0002023849296284776,-0.0048865566008446095,-0.004093222254673631
8,2,16,16.0,0.0,16.0,16.0,-0.6865646350569619,0.021669086890366444,-0.7290352649399491,-0.6440940051739746,-0.7425646350569619,0.021669086890366444,-0.7850352649399491,-0.7000940051739747,-0.042910289691060116,0.0013543179306479028,-0.04556470405874682,-0.040255875323373415
8,4,16,32.0,0.0,32.0,32.0,-0.5850513694318269,0.01601544650861506,-0.6164410677850402,-0.5536616710786136,-0.6970513694318269,0.016015446508615055,-0.7284410677850401,-0.6656616710786136,-0.01828285529474459,0.0005004827033942206,-0.019263783368282505,-0.017301927221206676
